roi_number,blob_number,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,ConvexArea,EquivDiameter,Solidity,Extent,Perimeter,ConvexPerimeter,FeretDiameter,BoundingBox_xwidth,BoundingBox_ywidth,shapehist_mean_normEqD,shapehist_mode_normEqD,shapehist_median_normEqD,shapehist_skewness_normEqD,shapehist_kurtosis_normEqD,Biovolume
898,1,737,38.24684956,27.38398924,0.6981205263,86.15644775,939,30.63294867,0.7848775293,0.7019047619,129.644,114.099697,58.5,30,35,0.6464633426,0.03264458837,0.6729854298,-0.227243244,2.048264852,11786.47024
898,2,373,38.92611304,23.73368003,0.7926237909,-57.32433641,768,21.79262146,0.4856770833,0.378296146,172.724,104.9000806,118.5,29,34,0.782927563,0.04588709081,0.7637133975,0.02398977058,2.165581234,1932.852783
929,1,404,39.63865215,17.03263402,0.9029728487,-2.324311518,636,22.68014057,0.6352201258,0.454954955,125.824,97.93468398,65.5,37,24,0.446897669,0.04409143749,0.4929572573,-0.4209809465,1.949612365,1703.205078
929,2,214,17.29704946,16.54837033,0.291021978,-57.68223768,221,16.50676415,0.9683257919,0.6993464052,52.425,56.0082034,44.5,18,17,0.9663525464,1.092143573,0.940473527,0.2136945915,2.329680799,6286.3269
932,1,366,32.07937259,16.0656017,0.8655584872,-16.52801296,465,21.58716455,0.7870967742,0.5622119816,89.211,85.58112924,86.5,31,21,0.5928174666,0.04632382347,0.5729940515,0.1205655583,2.236047849,1588.341431
932,2,266,31.17629147,15.54793028,0.8667688695,-89.44603313,456,18.40330728,0.5833333333,0.4925925926,100.07,80.42536676,42.5,20,27,0.7856471404,0.05433805917,0.7684562023,0.07914414729,2.163561963,3023.579346
976,1,1255,67.14023271,47.09603235,0.7127111007,61.12514648,2399,39.97393687,0.5231346394,0.3487079744,252.118,186.172601,106.5,59,61,0.2491692869,0.02501630008,0.270592658,-0.3214236439,2.040052564,1451.764648
976,2,262,21.54537268,16.13703904,0.6625933491,-25.21946861,280,18.26441241,0.9357142857,0.6616161616,59,62.05551276,54.5,22,18,0.6187249069,0.0547512823,0.6615622612,-0.3063254625,2.042985841,2348.340509
976,3,193,16.50673287,15.84772482,0.2797378932,60.21820017,230,15.67594438,0.8391304348,0.5406162465,56.941,57.6745886,47.5,21,17,1.843824767,0.06379200997,1.796399311,0.09301683402,2.123487643,21211.2482
1005,1,4201,99.93427138,69.56106142,0.7179757365,-75.00165069,6358,73.13603303,0.6607423718,0.3955743879,435.918,307.7816627,131.5,90,118,0.2576106363,0.01367315068,0.247631291,0.289408515,2.462460188,5468.50293
1005,2,569,41.03658175,19.82171498,0.875606291,-26.73646866,757,26.9160417,0.751651255,0.4581320451,130.058,111.9238484,120.5,46,27,1.841468851,0.03715256541,1.850928728,0.08701647243,2.373808672,85312.94531
1006,1,7443,214.3822566,59.4375087,0.9607977753,12.04966736,16052,97.34845624,0.4636805383,0.3445833333,890.194,549.0709576,219.5,216,100,0.8540627433,0.01027237656,0.8012453717,0.4988258649,2.621593686,168639.375
1006,2,6809,98.28541565,88.29419125,0.4392910598,-21.38398811,6967,93.11008571,0.9773216593,0.7719954649,301.169,299.0986515,567.5,98,90,0.121718528,0.01073997508,0.1310981031,-0.3847784841,1.987858869,2586.316152
